TXNAME	GENEID
ENST00000480456	ENSG00000154721
ENST00000312957	ENSG00000154721
ENST00000460679	ENSG00000154721
ENST00000492962	ENSG00000154721
ENST00000477351	ENSG00000154721
ENST00000471689	ENSG00000154721
ENST00000400099	ENSG00000154723
ENST00000400094	ENSG00000154723
ENST00000284971	ENSG00000154723
ENST00000457143	ENSG00000154723
ENST00000400090	ENSG00000154723
ENST00000400087	ENSG00000154723
ENST00000400093	ENSG00000154723
ENST00000486002	ENSG00000154723
ENST00000354828	ENSG00000154727
ENST00000400075	ENSG00000154727
ENST00000487266	ENSG00000154727
ENST00000346798	ENSG00000142192
ENST00000354192	ENSG00000142192
ENST00000348990	ENSG00000142192
ENST00000357903	ENSG00000142192
ENST00000359726	ENSG00000142192
ENST00000440126	ENSG00000142192
ENST00000439274	ENSG00000142192
ENST00000464867	ENSG00000142192
ENST00000358918	ENSG00000142192
ENST00000448850	ENSG00000142192
ENST00000415997	ENSG00000142192
ENST00000491395	ENSG00000142192
ENST00000474136	ENSG00000142192
ENST00000463070	ENSG00000142192
ENST00000548570	ENSG00000142192
ENST00000462267	ENSG00000142192
ENST00000466453	ENSG00000142192
ENST00000299340	ENSG00000166265
ENST00000400043	ENSG00000166265
ENST00000284984	ENSG00000154734
ENST00000464589	ENSG00000154734
ENST00000492656	ENSG00000154734
ENST00000517777	ENSG00000154734
ENST00000451462	ENSG00000154734
ENST00000517452	ENSG00000154734
ENST00000284987	ENSG00000154736
ENST00000303775	ENSG00000156239
ENST00000351429	ENSG00000156239
ENST00000460212	ENSG00000156239
ENST00000361371	ENSG00000198862
ENST00000389194	ENSG00000198862
ENST00000614971	ENSG00000198862
ENST00000486427	ENSG00000198862
ENST00000475344	ENSG00000198862
ENST00000389195	ENSG00000198862
ENST00000483326	ENSG00000198862
ENST00000493196	ENSG00000156253
ENST00000486719	ENSG00000156253
ENST00000286777	ENSG00000156253
ENST00000472184	ENSG00000156253
ENST00000466746	ENSG00000156253
ENST00000481411	ENSG00000156253
ENST00000471269	ENSG00000156253
ENST00000399975	ENSG00000156256
ENST00000399976	ENSG00000156256
ENST00000334352	ENSG00000156256
ENST00000474835	ENSG00000156256
ENST00000399973	ENSG00000156256
ENST00000485067	ENSG00000156256
ENST00000432178	ENSG00000156261
ENST00000540844	ENSG00000156261
ENST00000496121	ENSG00000156261
ENST00000470450	ENSG00000156261
ENST00000286788	ENSG00000156261
ENST00000626972	ENSG00000156261
ENST00000480359	ENSG00000156261
ENST00000475205	ENSG00000156261
ENST00000431234	ENSG00000156261
ENST00000484403	ENSG00000156261
ENST00000481059	ENSG00000156261
ENST00000494296	ENSG00000156261
ENST00000496779	ENSG00000156265
ENST00000419845	ENSG00000156265
ENST00000492930	ENSG00000156265
ENST00000341618	ENSG00000156265
ENST00000399935	ENSG00000156265
ENST00000399934	ENSG00000156265
ENST00000399947	ENSG00000156265
ENST00000286791	ENSG00000156265
ENST00000339024	ENSG00000156265
ENST00000545939	ENSG00000156265
ENST00000460883	ENSG00000156265
ENST00000399928	ENSG00000156265
ENST00000399926	ENSG00000156265
ENST00000399925	ENSG00000156265
ENST00000451489	ENSG00000156265
ENST00000470800	ENSG00000156265
ENST00000548219	ENSG00000156273
ENST00000550131	ENSG00000156273
ENST00000547141	ENSG00000156273
ENST00000546469	ENSG00000156273
ENST00000286800	ENSG00000156273
ENST00000399921	ENSG00000156273
ENST00000548467	ENSG00000156273
ENST00000451655	ENSG00000156273
ENST00000447177	ENSG00000156273
ENST00000435072	ENSG00000156273
ENST00000422809	ENSG00000156273
ENST00000468059	ENSG00000156273
ENST00000462262	ENSG00000156273
ENST00000327783	ENSG00000171189
ENST00000389125	ENSG00000171189
ENST00000399913	ENSG00000171189
ENST00000399914	ENSG00000171189
ENST00000389124	ENSG00000171189
ENST00000399907	ENSG00000171189
ENST00000399909	ENSG00000171189
ENST00000472429	ENSG00000171189
ENST00000286808	ENSG00000156282
ENST00000399899	ENSG00000156284
ENST00000340345	ENSG00000188694
ENST00000416044	ENSG00000232263
ENST00000360542	ENSG00000197683
ENST00000382835	ENSG00000206107
ENST00000334160	ENSG00000186980
ENST00000399889	ENSG00000182816
ENST00000355459	ENSG00000198390
ENST00000390690	ENSG00000240432
ENST00000334068	ENSG00000186971
ENST00000334067	ENSG00000186970
ENST00000390689	ENSG00000184351
ENST00000334055	ENSG00000186965
ENST00000334063	ENSG00000244025
ENST00000334058	ENSG00000186967
ENST00000334151	ENSG00000186977
ENST00000334046	ENSG00000186925
ENST00000334849	ENSG00000244362
ENST00000382830	ENSG00000206106
ENST00000391624	ENSG00000212938
ENST00000334897	ENSG00000186930
ENST00000334680	ENSG00000186924
ENST00000329122	ENSG00000184724
ENST00000334664	ENSG00000244624
ENST00000382828	ENSG00000206105
ENST00000330798	ENSG00000184032
ENST00000382826	ENSG00000206104
ENST00000444335	ENSG00000231068
ENST00000333892	ENSG00000187026
ENST00000335093	ENSG00000187005
ENST00000329621	ENSG00000183640
ENST00000621162	ENSG00000274749
ENST00000332378	ENSG00000182591
ENST00000382822	ENSG00000206102
ENST00000286827	ENSG00000156299
ENST00000423206	ENSG00000156299
ENST00000541036	ENSG00000156299
ENST00000636887	ENSG00000156299
ENST00000491927	ENSG00000156299
ENST00000469412	ENSG00000156299
ENST00000455508	ENSG00000156299
ENST00000270142	ENSG00000142168
ENST00000389995	ENSG00000142168
ENST00000476106	ENSG00000142168
ENST00000470944	ENSG00000142168
ENST00000286835	ENSG00000156304
ENST00000399804	ENSG00000156304
ENST00000434667	ENSG00000156304
ENST00000467731	ENSG00000156304
ENST00000472318	ENSG00000156304
ENST00000485790	ENSG00000156304
ENST00000270112	ENSG00000142149
ENST00000430354	ENSG00000142149
ENST00000465574	ENSG00000142149
ENST00000439107	ENSG00000142149
ENST00000290130	ENSG00000159055
ENST00000486363	ENSG00000159055
ENST00000399784	ENSG00000170262
ENST00000497833	ENSG00000170262
ENST00000303645	ENSG00000170262
ENST00000339944	ENSG00000170262
ENST00000382751	ENSG00000142207
ENST00000480196	ENSG00000142207
ENST00000492603	ENSG00000142207
ENST00000469079	ENSG00000166979
ENST00000459833	ENSG00000166979
ENST00000300255	ENSG00000166979
ENST00000435323	ENSG00000166979
ENST00000437338	ENSG00000166979
ENST00000457807	ENSG00000166979
ENST00000401402	ENSG00000166979
ENST00000382699	ENSG00000166979
ENST00000481638	ENSG00000166979
ENST00000412833	ENSG00000166979
ENST00000464037	ENSG00000166979
ENST00000496615	ENSG00000166979
ENST00000485488	ENSG00000166979
ENST00000300258	ENSG00000242220
ENST00000491828	ENSG00000242220
ENST00000472557	ENSG00000242220
ENST00000582575	ENSG00000242220
ENST00000431216	ENSG00000265590
ENST00000553001	ENSG00000265590
ENST00000431599	ENSG00000159079
ENST00000440966	ENSG00000159079
ENST00000382549	ENSG00000159079
ENST00000290155	ENSG00000159079
ENST00000425336	ENSG00000159079
ENST00000300260	ENSG00000159079
ENST00000483315	ENSG00000159079
ENST00000458138	ENSG00000159079
ENST00000357345	ENSG00000159082
ENST00000382491	ENSG00000159082
ENST00000438952	ENSG00000159082
ENST00000630077	ENSG00000159082
ENST00000382499	ENSG00000159082
ENST00000433931	ENSG00000159082
ENST00000418301	ENSG00000159082
ENST00000467445	ENSG00000159082
ENST00000464778	ENSG00000159082
ENST00000429236	ENSG00000159082
ENST00000456084	ENSG00000159082
ENST00000331923	ENSG00000159086
ENST00000466846	ENSG00000159086
ENST00000443785	ENSG00000159086
ENST00000497873	ENSG00000159086
ENST00000290178	ENSG00000159086
ENST00000445049	ENSG00000159086
ENST00000421049	ENSG00000159086
ENST00000472588	ENSG00000159086
ENST00000464256	ENSG00000159086
ENST00000490358	ENSG00000205929
ENST00000487113	ENSG00000205929
ENST00000382373	ENSG00000205929
ENST00000479548	ENSG00000205929
ENST00000382357	ENSG00000205927
ENST00000430860	ENSG00000205927
ENST00000333337	ENSG00000205927
ENST00000382348	ENSG00000184221
ENST00000426947	ENSG00000184221
ENST00000498799	ENSG00000184221
ENST00000382264	ENSG00000159110
ENST00000404220	ENSG00000159110
ENST00000342136	ENSG00000159110
ENST00000420068	ENSG00000159110
ENST00000342101	ENSG00000159110
ENST00000382238	ENSG00000159110
ENST00000413881	ENSG00000159110
ENST00000443073	ENSG00000159110
ENST00000447980	ENSG00000159110
ENST00000417007	ENSG00000159110
ENST00000646150	ENSG00000249624
ENST00000433395	ENSG00000249624
ENST00000432231	ENSG00000249624
ENST00000290200	ENSG00000243646
ENST00000422891	ENSG00000243646
ENST00000493295	ENSG00000243646
ENST00000498371	ENSG00000243646
ENST00000451065	ENSG00000243646
ENST00000637650	ENSG00000243646
ENST00000609556	ENSG00000243646
ENST00000493503	ENSG00000142166
ENST00000270139	ENSG00000142166
ENST00000442071	ENSG00000142166
ENST00000290219	ENSG00000159128
ENST00000439213	ENSG00000159128
ENST00000381995	ENSG00000159128
ENST00000545369	ENSG00000159128
ENST00000405436	ENSG00000159128
ENST00000421802	ENSG00000159128
ENST00000484377	ENSG00000142188
ENST00000420455	ENSG00000142188
ENST00000470682	ENSG00000142188
ENST00000468874	ENSG00000142188
ENST00000542230	ENSG00000142188
ENST00000441128	ENSG00000142188
ENST00000442441	ENSG00000142188
ENST00000474272	ENSG00000142188
ENST00000432504	ENSG00000142188
ENST00000459909	ENSG00000142188
ENST00000617313	ENSG00000177692
ENST00000381947	ENSG00000177692
ENST00000314399	ENSG00000177692
ENST00000402202	ENSG00000177692
ENST00000381815	ENSG00000159131
ENST00000381831	ENSG00000159131
ENST00000381839	ENSG00000159131
ENST00000424203	ENSG00000159131
ENST00000482663	ENSG00000159131
ENST00000487155	ENSG00000159131
ENST00000460305	ENSG00000159131
ENST00000467575	ENSG00000159131
ENST00000361093	ENSG00000159131
ENST00000366093	ENSG00000159131
ENST00000466882	ENSG00000159131
ENST00000497313	ENSG00000159131
ENST00000430874	ENSG00000159131
ENST00000426819	ENSG00000159131
ENST00000476524	ENSG00000159131
ENST00000488791	ENSG00000159131
ENST00000438059	ENSG00000159131
ENST00000441403	ENSG00000159131
ENST00000356577	ENSG00000159140
ENST00000475072	ENSG00000159140
ENST00000381692	ENSG00000159140
ENST00000300278	ENSG00000159140
ENST00000455528	ENSG00000159140
ENST00000381679	ENSG00000159140
ENST00000492229	ENSG00000159140
ENST00000436227	ENSG00000159140
ENST00000421541	ENSG00000159140
ENST00000429093	ENSG00000159140
ENST00000474355	ENSG00000159140
ENST00000457208	ENSG00000159140
ENST00000467616	ENSG00000159140
ENST00000484294	ENSG00000159140
ENST00000473102	ENSG00000159140
ENST00000470533	ENSG00000159140
ENST00000478183	ENSG00000159140
ENST00000465834	ENSG00000159140
ENST00000477419	ENSG00000159140
ENST00000491794	ENSG00000159140
ENST00000439593	ENSG00000159147
ENST00000303113	ENSG00000159147
ENST00000453626	ENSG00000159147
ENST00000457359	ENSG00000159147
ENST00000303071	ENSG00000159147
ENST00000417871	ENSG00000159147
ENST00000460557	ENSG00000159147
ENST00000444517	ENSG00000159147
ENST00000442660	ENSG00000159147
ENST00000437395	ENSG00000159147
ENST00000432378	ENSG00000159147
ENST00000440810	ENSG00000159147
ENST00000462566	ENSG00000159147
ENST00000429238	ENSG00000249209
ENST00000381554	ENSG00000205758
ENST00000290244	ENSG00000205758
ENST00000468349	ENSG00000205758
ENST00000381540	ENSG00000205758
ENST00000452420	ENSG00000205758
ENST00000441940	ENSG00000205758
ENST00000480893	ENSG00000205758
ENST00000445393	ENSG00000205758
ENST00000437996	ENSG00000205758
ENST00000361534	ENSG00000205758
ENST00000429827	ENSG00000205758
ENST00000420072	ENSG00000205758
ENST00000440526	ENSG00000205758
ENST00000479964	ENSG00000205758
ENST00000414079	ENSG00000205758
ENST00000426935	ENSG00000205758
ENST00000431177	ENSG00000205758
ENST00000488167	ENSG00000205758
ENST00000417979	ENSG00000205758
ENST00000490714	ENSG00000205758
ENST00000413017	ENSG00000205758
ENST00000438788	ENSG00000205758
ENST00000399442	ENSG00000205758
ENST00000399353	ENSG00000205726
ENST00000444491	ENSG00000205726
ENST00000470742	ENSG00000205726
ENST00000381318	ENSG00000205726
ENST00000381291	ENSG00000205726
ENST00000381285	ENSG00000205726
ENST00000399367	ENSG00000205726
ENST00000399352	ENSG00000205726
ENST00000399355	ENSG00000205726
ENST00000399349	ENSG00000205726
ENST00000451686	ENSG00000205726
ENST00000381283	ENSG00000205726
ENST00000399338	ENSG00000205726
ENST00000456489	ENSG00000205726
ENST00000379960	ENSG00000205726
ENST00000488166	ENSG00000205726
ENST00000474132	ENSG00000205726
ENST00000419241	ENSG00000205726
ENST00000440794	ENSG00000205726
ENST00000465143	ENSG00000205726
ENST00000487427	ENSG00000205726
ENST00000437126	ENSG00000205726
ENST00000428240	ENSG00000205726
ENST00000472548	ENSG00000205726
ENST00000479424	ENSG00000205726
ENST00000462212	ENSG00000205726
ENST00000495656	ENSG00000205726
ENST00000475422	ENSG00000205726
ENST00000489261	ENSG00000205726
ENST00000381284	ENSG00000205726
ENST00000420666	ENSG00000205726
ENST00000415023	ENSG00000205726
ENST00000431254	ENSG00000241837
ENST00000491703	ENSG00000241837
ENST00000290299	ENSG00000241837
ENST00000417181	ENSG00000241837
ENST00000418933	ENSG00000241837
ENST00000429064	ENSG00000241837
ENST00000495005	ENSG00000241837
ENST00000496044	ENSG00000241837
ENST00000484627	ENSG00000241837
ENST00000487374	ENSG00000241837
ENST00000488492	ENSG00000243927
ENST00000399312	ENSG00000243927
ENST00000477091	ENSG00000243927
ENST00000483977	ENSG00000243927
ENST00000482679	ENSG00000243927
ENST00000381151	ENSG00000198743
ENST00000290310	ENSG00000159197
ENST00000481710	ENSG00000205670
ENST00000399292	ENSG00000205670
ENST00000399299	ENSG00000205670
ENST00000489469	ENSG00000205670
ENST00000495363	ENSG00000205670
ENST00000474455	ENSG00000205670
ENST00000399295	ENSG00000205670
ENST00000410005	ENSG00000222018
ENST00000450895	ENSG00000243627
ENST00000432085	ENSG00000180509
ENST00000621601	ENSG00000180509
ENST00000611936	ENSG00000180509
ENST00000337385	ENSG00000180509
ENST00000399289	ENSG00000180509
ENST00000399286	ENSG00000180509
ENST00000416357	ENSG00000180509
ENST00000399284	ENSG00000180509
ENST00000489175	ENSG00000180509
ENST00000487434	ENSG00000159200
ENST00000620920	ENSG00000159200
ENST00000381135	ENSG00000159200
ENST00000443408	ENSG00000159200
ENST00000482533	ENSG00000159200
ENST00000481448	ENSG00000159200
ENST00000381132	ENSG00000159200
ENST00000487990	ENSG00000159200
ENST00000399272	ENSG00000159200
ENST00000489903	ENSG00000159200
ENST00000313806	ENSG00000159200
ENST00000492600	ENSG00000159200
ENST00000609325	ENSG00000159200
ENST00000463276	ENSG00000159200
ENST00000360731	ENSG00000159212
ENST00000349499	ENSG00000159212
ENST00000344691	ENSG00000159216
ENST00000437180	ENSG00000159216
ENST00000300305	ENSG00000159216
ENST00000482318	ENSG00000159216
ENST00000399240	ENSG00000159216
ENST00000479325	ENSG00000159216
ENST00000358356	ENSG00000159216
ENST00000469087	ENSG00000159216
ENST00000399237	ENSG00000159216
ENST00000467577	ENSG00000159216
ENST00000455571	ENSG00000159216
ENST00000475045	ENSG00000159216
ENST00000416754	ENSG00000159216
ENST00000468726	ENSG00000159216
ENST00000467692	ENSG00000159216
ENST00000494829	ENSG00000159216
ENST00000460207	ENSG00000159216
ENST00000399215	ENSG00000185917
ENST00000481477	ENSG00000185917
ENST00000399212	ENSG00000185917
ENST00000332131	ENSG00000185917
ENST00000487297	ENSG00000185917
ENST00000469482	ENSG00000185917
ENST00000399205	ENSG00000185917
ENST00000399208	ENSG00000185917
ENST00000399201	ENSG00000185917
ENST00000399207	ENSG00000185917
ENST00000424303	ENSG00000185917
ENST00000429161	ENSG00000185917
ENST00000485865	ENSG00000185917
ENST00000446166	ENSG00000185917
ENST00000442559	ENSG00000185917
ENST00000460704	ENSG00000185917
ENST00000443703	ENSG00000185917
ENST00000466328	ENSG00000159228
ENST00000530908	ENSG00000159228
ENST00000290349	ENSG00000159228
ENST00000439427	ENSG00000159228
ENST00000399191	ENSG00000159228
ENST00000290354	ENSG00000159231
ENST00000270190	ENSG00000142197
ENST00000399151	ENSG00000142197
ENST00000492760	ENSG00000142197
ENST00000463668	ENSG00000142197
ENST00000492336	ENSG00000159256
ENST00000400485	ENSG00000159256
ENST00000487909	ENSG00000159256
ENST00000485933	ENSG00000159256
ENST00000485299	ENSG00000159256
ENST00000484028	ENSG00000159256
ENST00000546482	ENSG00000159256
ENST00000549948	ENSG00000159256
ENST00000551788	ENSG00000159256
ENST00000551367	ENSG00000159256
ENST00000552581	ENSG00000159256
ENST00000547657	ENSG00000159256
ENST00000314103	ENSG00000159259
ENST00000480486	ENSG00000159259
ENST00000481458	ENSG00000159259
ENST00000399139	ENSG00000159261
ENST00000399137	ENSG00000159261
ENST00000399135	ENSG00000159261
ENST00000399136	ENSG00000159261
ENST00000342108	ENSG00000159261
ENST00000478313	ENSG00000159261
ENST00000460783	ENSG00000159263
ENST00000481185	ENSG00000159263
ENST00000290399	ENSG00000159263
ENST00000431229	ENSG00000159263
ENST00000483178	ENSG00000159263
ENST00000612277	ENSG00000159267
ENST00000336648	ENSG00000159267
ENST00000399120	ENSG00000159267
ENST00000482273	ENSG00000159267
ENST00000448340	ENSG00000159267
ENST00000419461	ENSG00000159267
ENST00000427746	ENSG00000159267
ENST00000485272	ENSG00000183145
ENST00000490393	ENSG00000183145
ENST00000329553	ENSG00000183145
ENST00000360525	ENSG00000185808
ENST00000464265	ENSG00000185808
ENST00000329667	ENSG00000185808
ENST00000399102	ENSG00000185808
ENST00000399103	ENSG00000185808
ENST00000399098	ENSG00000185808
ENST00000479152	ENSG00000185808
ENST00000430792	ENSG00000185808
ENST00000492275	ENSG00000182670
ENST00000418766	ENSG00000182670
ENST00000485402	ENSG00000182670
ENST00000450533	ENSG00000182670
ENST00000438055	ENSG00000182670
ENST00000355666	ENSG00000182670
ENST00000463216	ENSG00000182670
ENST00000481605	ENSG00000182670
ENST00000494243	ENSG00000182670
ENST00000540756	ENSG00000182670
ENST00000399010	ENSG00000182670
ENST00000399017	ENSG00000182670
ENST00000484047	ENSG00000182670
ENST00000354749	ENSG00000182670
ENST00000479930	ENSG00000182670
ENST00000460328	ENSG00000182670
ENST00000491952	ENSG00000182670
ENST00000476784	ENSG00000182670
ENST00000414818	ENSG00000182670
ENST00000411496	ENSG00000182670
ENST00000487711	ENSG00000182670
ENST00000472398	ENSG00000182670
ENST00000469939	ENSG00000182670
ENST00000428693	ENSG00000182670
ENST00000488522	ENSG00000182670
ENST00000497493	ENSG00000157538
ENST00000309117	ENSG00000157538
ENST00000399000	ENSG00000157538
ENST00000399001	ENSG00000157538
ENST00000476950	ENSG00000157538
ENST00000488368	ENSG00000157538
ENST00000398998	ENSG00000157538
ENST00000495858	ENSG00000157538
ENST00000480452	ENSG00000157538
ENST00000475009	ENSG00000157538
ENST00000492514	ENSG00000157538
ENST00000462467	ENSG00000157538
ENST00000498789	ENSG00000157538
ENST00000646523	ENSG00000157540
ENST00000647425	ENSG00000157540
ENST00000647504	ENSG00000157540
ENST00000644942	ENSG00000157540
ENST00000647188	ENSG00000157540
ENST00000338785	ENSG00000157540
ENST00000643624	ENSG00000157540
ENST00000643551	ENSG00000157540
ENST00000426672	ENSG00000157540
ENST00000398960	ENSG00000157540
ENST00000339659	ENSG00000157540
ENST00000646548	ENSG00000157540
ENST00000455097	ENSG00000157540
ENST00000643854	ENSG00000157540
ENST00000645424	ENSG00000157540
ENST00000642309	ENSG00000157540
ENST00000645774	ENSG00000157540
ENST00000398956	ENSG00000157540
ENST00000462274	ENSG00000157540
ENST00000643355	ENSG00000157540
ENST00000643808	ENSG00000157540
ENST00000644367	ENSG00000157540
ENST00000646224	ENSG00000157540
ENST00000646351	ENSG00000157540
ENST00000609713	ENSG00000157542
ENST00000645093	ENSG00000157542
ENST00000472602	ENSG00000157551
ENST00000549158	ENSG00000157551
ENST00000549805	ENSG00000157551
ENST00000547341	ENSG00000157551
ENST00000549932	ENSG00000157551
ENST00000547595	ENSG00000157551
ENST00000548700	ENSG00000157551
ENST00000551422	ENSG00000157551
ENST00000613499	ENSG00000157551
ENST00000612702	ENSG00000157551
ENST00000398925	ENSG00000157551
ENST00000398928	ENSG00000157551
ENST00000328656	ENSG00000157551
ENST00000443341	ENSG00000157551
ENST00000417042	ENSG00000157551
ENST00000398938	ENSG00000157551
ENST00000398932	ENSG00000157551
ENST00000438657	ENSG00000157551
ENST00000398934	ENSG00000157551
ENST00000398930	ENSG00000157551
ENST00000398927	ENSG00000157551
ENST00000419868	ENSG00000157551
ENST00000398905	ENSG00000157554
ENST00000398907	ENSG00000157554
ENST00000288319	ENSG00000157554
ENST00000398897	ENSG00000157554
ENST00000398911	ENSG00000157554
ENST00000417133	ENSG00000157554
ENST00000398910	ENSG00000157554
ENST00000442448	ENSG00000157554
ENST00000453032	ENSG00000157554
ENST00000398919	ENSG00000157554
ENST00000481609	ENSG00000157554
ENST00000492833	ENSG00000157554
ENST00000429727	ENSG00000157554
ENST00000468474	ENSG00000157554
ENST00000473107	ENSG00000157554
ENST00000485493	ENSG00000157554
ENST00000360214	ENSG00000157557
ENST00000360938	ENSG00000157557
ENST00000432278	ENSG00000157557
ENST00000456966	ENSG00000157557
ENST00000331573	ENSG00000183527
ENST00000481921	ENSG00000183527
ENST00000411828	ENSG00000183527
ENST00000431628	ENSG00000183527
ENST00000380900	ENSG00000183527
ENST00000333229	ENSG00000185658
ENST00000446924	ENSG00000185658
ENST00000342449	ENSG00000185658
ENST00000380800	ENSG00000185658
ENST00000491564	ENSG00000185658
ENST00000424441	ENSG00000185658
ENST00000473813	ENSG00000185658
ENST00000445668	ENSG00000185658
ENST00000430093	ENSG00000185658
ENST00000445245	ENSG00000185658
ENST00000455867	ENSG00000185658
ENST00000412604	ENSG00000185658
ENST00000496759	ENSG00000185658
ENST00000341322	ENSG00000185658
ENST00000470108	ENSG00000185658
ENST00000484090	ENSG00000185658
ENST00000288344	ENSG00000205581
ENST00000486741	ENSG00000205581
ENST00000431390	ENSG00000205581
ENST00000380749	ENSG00000205581
ENST00000492280	ENSG00000205581
ENST00000436324	ENSG00000205581
ENST00000380748	ENSG00000205581
ENST00000419378	ENSG00000205581
ENST00000489072	ENSG00000205581
ENST00000482192	ENSG00000205581
ENST00000380747	ENSG00000205581
ENST00000485550	ENSG00000205581
ENST00000490032	ENSG00000205581
